name,name_lc,name_lc_metaphone,name_lc_arpabet
Big Boss Man,big boss man,BK BS MN,BIH1G BAA1S MAE1N
Big Bully Busick,big bully busick,BK BL BSK,BIH1G BUH1LIY0 BIH1SIH0K
Big Daddy Kane,big daddy kane,BK TT KN,BIH1G DAE1DIY0 KEY1N
Big Jim Sullivan,big jim sullivan,BK JM SLFN,BIH1G JHIH1M SAH1LAH0VAH0N
Big Joe Turner,big joe turner,BK J TRNR,BIH1G JHOW1 TER1NER0
Big Joe Williams,big joe williams,BK J WLMS,BIH1G JHOW1 WIH1LYAH0MZ
Big John Studd,big john studd,BK JN STT,BIH1G JHAA1N STAH1D
Big Kuntry King,big kuntry king,BK KNTR KNK,BIH1G KAH1NTRIY0 KIH1NG
Big Mama Thornton,big mama thornton,BK MM 0RNTN,BIH1G MAA1MAH0 THAO1RNTAH0N
Big Nose George,big nose george,BK NS JRJ,BIH1G NOW1Z JHAO1RJH
Big Nose Kate,big nose kate,BK NS KT,BIH1G NOW1Z KEY1T
Big Tiny Little,big tiny little,BK TN LTL,BIH1G TAY1NIY0 LIH1TAH0L
Big Van Vader,big van vader,BK FN FTR,BIH1G VAE1N VEY1DER0
Big Walter Horton,big walter horton,BK WLTR HRTN,BIH1G WAO1LTER0 HHAO1RTAH0N
Bijan Namdar Zangeneh,bijan namdar zangeneh,BJN NMTR SNJN,BIH1JHAH0N NAE1MDAA2R ZAE1NJHAH0N
Bill D. Moyers,bill d. moyers,BL T MYRS,BIH1L DIY1 . MOY1ER0Z
Bill T. Jones,bill t. jones,BL T JNS,BIH1L TIY1 . JHOW1NZ
Billie Jo Spears,billie jo spears,BL J SPRS,BIH1LIY0 JHOW1 SPIH1RZ
Billie Lou Watt,billie lou watt,BL L WT,BIH1LIY0 LUW1 WAA1T
Billie Mae Richards,billie mae richards,BL M RXRTS,BIH1LIY0 MEY1 RIH1CHER0DZ
Billie Ray Martin,billie ray martin,BL R MRTN,BIH1LIY0 REY1 MAA1RTAH0N
Billie Sol Estes,billie sol estes,BL SL ESTS,BIH1LIY0 SAA1L EH1STIY0Z
Billy Aaron Brown,billy aaron brown,BL RN BRN,BIH1LIY0 EH1RAH0N BRAW1N
Billy Bob Thornton,billy bob thornton,BL BB 0RNTN,BIH1LIY0 BAA1B THAO1RNTAH0N
Billy De Wolfe,billy de wolfe,BL T WLF,BIH1LIY0 DIY1 WUH1LF
Billy Dee Williams,billy dee williams,BL T WLMS,BIH1LIY0 DIY1 WIH1LYAH0MZ
Billy Edd Wheeler,billy edd wheeler,BL ET HLR,BIH1LIY0 EH1D WIY1LER0
Billy Green Bush,billy green bush,BL KRN BX,BIH1LIY0 GRIY1N BUH1SH
Billy J. Kramer,billy j. kramer,BL J KRMR,BIH1LIY0 JHEY1 . KREY1MER0
Billy Jack Haynes,billy jack haynes,BL JK HNS,BIH1LIY0 JHAE1K HHEY1NZ
Billy James Hargis,billy james hargis,BL JMS HRJS,BIH1LIY0 JHEY1MZ HHAA1RGIH0S
Billy Joe Daugherty,billy joe daugherty,BL J TKHRT,BIH1LIY0 JHOW1 DAA1KER0TIY0
Billy Joe Royal,billy joe royal,BL J RYL,BIH1LIY0 JHOW1 ROY1AH0L
Billy Joe Saunders,billy joe saunders,BL J SNTRS,BIH1LIY0 JHOW1 SAO1NDER0Z
Billy Joe Shaver,billy joe shaver,BL J XFR,BIH1LIY0 JHOW1 SHEY1VER0
Billy Joe Tolliver,billy joe tolliver,BL J TLFR,BIH1LIY0 JHOW1 TOW1LIH0VER0
Billy L. Sullivan,billy l. sullivan,BL L SLFN,BIH1LIY0 EH1L . SAH1LAH0VAH0N
Billy Lee Riley,billy lee riley,BL L RL,BIH1LIY0 LIY1 RAY1LIY0
Billy Ray Bates,billy ray bates,BL R BTS,BIH1LIY0 REY1 BEY1TS
Billy Ray Cyrus,billy ray cyrus,BL R SRS,BIH1LIY0 REY1 SAY1RAH0S
Billy Ray Smith,billy ray smith,BL R SM0,BIH1LIY0 REY1 SMIH1TH
Billy T. James,billy t. james,BL T JMS,BIH1LIY0 TIY1 . JHEY1MZ
Billy Two Rivers,billy two rivers,BL TW RFRS,BIH1LIY0 TUW1 RIH1VER0Z
"Billy \""Crash\"" Craddock","billy \""crash\"" craddock",BL KRX KRTK,BIH1LIY0 KRAE1SH KRAE1DAH0K
Billy the Kid,billy the kid,BL 0 KT,BIH1LIY0 DHAH0 KIH1D
Bingu wa Mutharika,bingu wa mutharika,BNK W M0RK,BIH1NGGUW0 WAA1 MYUW0THAA1RIH0KAH0
Bipin Chandra Pal,bipin chandra pal,BPN XNTR PL,BAY1PAH0N CHAE1NDRAH0 PAE1L
Bishnu Prasad Rabha,bishnu prasad rabha,BXN PRST RBH,BIH1SHNUW0 PRAE1SAH0D RAE1BHHAH0
Bishop Noel Jones,bishop noel jones,BXP NL JNS,BIH1SHAH0P NOW0EH1L JHOW1NZ
Bishop Paul S. Morton,bishop paul s. morton,BXP PL S MRTN,BIH1SHAH0P PAO1L EH1S . MAO1RTAH0N
Bishweshwar Prasad Koirala,bishweshwar prasad koirala,BXWXWR PRST KRL,BIH0SHWAH1SHAO2R PRAE1SAH0D KOW0RAA1LAH0
Bismarck du Plessis,bismarck du plessis,BSMRK T PLSS,BIH1ZMAA2RK DUW1 PLEH1SIH0S
Blake McIver Ewing,blake mciver ewing,BLK MSFR EWNK,BLEY1K MAH0KIH1VER0 YUW1IH0NG
Blanche Taylor Moore,blanche taylor moore,BLNX TLR MR,BLAE1NCH TEY1LER0 MUH1R
Bleddyn ap Cynfyn,bleddyn ap cynfyn,BLTN AP SNFN,BLEH1DIH0N AE1P SIH1NFIH0N
Blek le Rat,blek le rat,BLK L RT,BLEH1K LAH0 RAE1T
Blind Boy Fuller,blind boy fuller,BLNT B FLR,BLAY1ND BOY1 FUH1LER0
Blind Lemon Jefferson,blind lemon jefferson,BLNT LMN JFRSN,BLAY1ND LEH1MAH0N JHEH1FER0SAH0N
Blind Willie Johnson,blind willie johnson,BLNT WL JNSN,BLAY1ND WIH1LIY0 JHAA1NSAH0N
Blind Willie McTell,blind willie mctell,BLNT WL MKTL,BLAY1ND WIH1LIY0 MAH0KTEH1L
Bloem De Ligny,bloem de ligny,BLM T LKN,BLOW1M DIY1 LIH1GNIY0
Blue Moon Odom,blue moon odom,BL MN OTM,BLUW1 MUW1N OW1DAH0M
Bob J. Perry,bob j. perry,BB J PR,BAA1B JHEY1 . PEH1RIY0
Bob St. Clair,bob st. clair,BB ST KLR,BAA1B STRIY1T . KLEH1R
Bob Van Dillen,bob van dillen,BB FN TLN,BAA1B VAE1N DIH1LAH0N
Bobbie Ann Mason,bobbie ann mason,BB AN MSN,BAA1BIY0 AE1N MEY1SAH0N
Bobbie Jo Stinnett,bobbie jo stinnett,BB J STNT,BAA1BIY0 JHOW1 STIH1NIH0T
Bobbie Joe Long,bobbie joe long,BB J LNK,BAA1BIY0 JHOW1 LAO1NG
Bobby Di Cicco,bobby di cicco,BB T SKK,BAA1BIY0 DIY1 SIH1KOW0
Bobby Frank Cherry,bobby frank cherry,BB FRNK XR,BAA1BIY0 FRAE1NGK CHEH1RIY0
Bobby Joe Hill,bobby joe hill,BB J HL,BAA1BIY0 JHOW1 HHIH1L
Bobby Ray Inman,bobby ray inman,BB R INMN,BAA1BIY0 REY1 IH1NMAH0N
Bobby Wayne Woods,bobby wayne woods,BB WN WTS,BAA1BIY0 WEY1N WUH1DZ
Bohemia the Punjabi Rapper,bohemia the punjabi rapper,BHM 0 PNJB RPR,BOW0HHIY1MIY0AH0 DHAH0 PAH0NJHAA1BIY0 RAE1PER0
Bojang of Goguryeo,bojang of goguryeo,BJNK OF KKRY,BOW1JHAE2NG AH1V GOW0GYEH1ROW0
Bok van Blerk,bok van blerk,BK FN BLRK,BAA1K VAE1N BLER1K
Bonnie Lee Bakley,bonnie lee bakley,BN L BKL,BAA1NIY0 LIY1 BAE1KLIY0
Booker T. Jones,booker t. jones,BKR T JNS,BUH1KER0 TIY1 . JHOW1NZ
Booker T. Washington,booker t. washington,BKR T WXNKTN,BUH1KER0 TIY1 . WAA1SHIH0NGTAH0N
Boris Borisovich Rotenberg,boris borisovich rotenberg,BRS BRSFX RTNBRK,BAO1RIH0S BAO2RIH0SAA1VIH0K ROW1TAH0NBER0G
Boris I of Bulgaria,boris i of bulgaria,BRS I OF BLKR,BAO1RIH0S AY1 AH1V BAH0LGEH1RIY0AH0
Borna of Croatia,borna of croatia,BRN OF KRX,BAO1RNAH0 AH1V KROW0EY1SHAH0
Boso of Provence,boso of provence,BS OF PRFNS,BOW1SOW0 AH1V PROW1VAH0NS
Boy in the Box,boy in the box,B IN 0 BKS,BOY1 IH0N DHAH0 BAA1KS
Boyd K. Packer,boyd k. packer,BT K PKR,BOY1D KEY1 . PAE1KER0
Brad Van Pelt,brad van pelt,BRT FN PLT,BRAE1D VAE1N PEH1LT
Brad William Henke,brad william henke,BRT WLM HNK,BRAE1D WIH1LYAH0M HHEH1NGK
Bradford Thomas Wagner,bradford thomas wagner,BRTFRT 0MS WKNR,BRAE1DFER0D TAA1MAH0S WAE1GNER0
Bradley John Murdoch,bradley john murdoch,BRTL JN MRTX,BRAE1DLIY0 JHAA1N MER1DAA0K
Bradley Steven Perry,bradley steven perry,BRTL STFN PR,BRAE1DLIY0 STIY1VAH0N PEH1RIY0
Bradley Whitford & Jane Kaczmarek,bradley whitford & jane kaczmarek,BRTL HTFRT JN KKSMRK,BRAE1DLIY0 WIH1TFER0D JHEY1N KAH0CHMAA1REH0K
Bram van der Stok,bram van der stok,BRM FN TR STK,BRAE1M VAE1N DER1 STAA1K
Brandon Jay McLaren,brandon jay mclaren,BRNTN J MKLRN,BRAE1NDAH0N JHEY1 MAH0KLEH1RAH0N
Brandon Mychal Smith,brandon mychal smith,BRNTN MXL SM0,BRAE1NDAH0N MAY1KAH0L SMIH1TH
Brandon Soo Hoo,brandon soo hoo,BRNTN S H,BRAE1NDAH0N SUW1 HHUW1
Brandon T. Jackson,brandon t. jackson,BRNTN T JKSN,BRAE1NDAH0N TIY1 . JHAE1KSAH0N
Brenda De Banzie,brenda de banzie,BRNT T BNS,BREH1NDAH0 DIY1 BAE1NZIY0
Brenda Epperson Doumani,brenda epperson doumani,BRNT EPRSN TMN,BREH1NDAH0 EH1PER0SAH0N DOW0MAA1NIY0
Brenda K. Starr,brenda k. starr,BRNT K STR,BREH1NDAH0 KEY1 . STAA1R
Brendan B. Brown,brendan b. brown,BRNTN B BRN,BREH1NDAH0N BIY1 . BRAW1N
Brendon de Jonge,brendon de jonge,BRNTN T JNJ,BREH1NDAH0N DIY1 JHAA1NJH
Bret Easton Ellis,bret easton ellis,BRT ESTN ELS,BREH1T IY1STAH0N EH1LIH0S
Brian Austin Green,brian austin green,BRN ASTN KRN,BRAY1AH0N AO1STAH0N GRIY1N
Brian David Mitchell,brian david mitchell,BRN TFT MXL,BRAY1AH0N DEY1VIH0D MIH1CHAH0L
Brian De Palma,brian de palma,BRN T PLM,BRAY1AH0N DIY1 PAA1LMAH0
Brian G. Hutton,brian g. hutton,BRN K HTN,BRAY1AH0N JHIY1 . HHAH1TAH0N
Brian J. White,brian j. white,BRN J HT,BRAY1AH0N JHEY1 . WAY1T
Brian K. Vaughan,brian k. vaughan,BRN K FKHN,BRAY1AH0N KEY1 . VAO1N
Brian L. Roberts,brian l. roberts,BRN L RBRTS,BRAY1AH0N EH1L . RAA1BER0TS
Brian Michael Bendis,brian michael bendis,BRN MXL BNTS,BRAY1AH0N MAY1KAH0L BEH1NDIH0S
Brian Patrick Clarke,brian patrick clarke,BRN PTRK KLRK,BRAY1AH0N PAE1TRIH0K KLAA1RK
Brian Stokes Mitchell,brian stokes mitchell,BRN STKS MXL,BRAY1AH0N STOW1KS MIH1CHAH0L
Brian T. Moynihan,brian t. moynihan,BRN T MNHN,BRAY1AH0N TIY1 . MOY1NIH0HHAE0N
Brian Vander Ark,brian vander ark,BRN FNTR ARK,BRAY1AH0N VAE1NDER0 AA1RK
Brian Z France,brian z france,BRN S FRNS,BRAY1AH0N ZIY1 FRAE1NS
Brian d'Arcy James,brian d'arcy james,BRN TRS JMS,BRAY1AH0N DAA1RSIY0 JHEY1MZ
Bridget Mary McCormack,bridget mary mccormack,BRJT MR MKKRMK,BRIH1JHAH0T MEH1RIY0 MAH0KAO1RMAH0K
Brittany Ashton Holmes,brittany ashton holmes,BRTN AXTN HLMS,BRIH1TAH0NIY0 AE1SHTAH0N HHOW1MZ
Brittany Paige Bouck,brittany paige bouck,BRTN PJ BK,BRIH1TAH0NIY0 PEY1JH BOW1K
Broncho Billy Anderson,broncho billy anderson,BRNX BL ANTRSN,BRAA1NGKOW0 BIH1LIY0 AE1NDER0SAH0N
Bror von Blixen-Finecke,bror von blixen-finecke,BRR FN BLKSNFNK,BRAO1R VAO1N BLIH1KSIH0NFIH0SNAH0L
Brotha Lynch Hung,brotha lynch hung,BR0 LNX HNK,BROW1DHAH0 LIH1NCH HHAH1NG
Brother Dave Gardner,brother dave gardner,BR0R TF KRTNR,BRAH1DHER0 DEY1V GAA1RDNER0
Bruce Alexander Cook,bruce alexander cook,BRS ALKSNTR KK,BRUW1S AE2LAH0GZAE1NDER0 KUH1K
Bruce Bueno de Mesquita,bruce bueno de mesquita,BRS BN T MSKT,BRUW1S BWEY1NOW0 DIY1 MEH0SKWIY1TAH0
Bruce D. Perry,bruce d. perry,BRS T PR,BRUW1S DIY1 . PEH1RIY0
Bruce Edwards Ivins,bruce edwards ivins,BRS ETWRTS IFNS,BRUW1S EH1DWER0DZ IH1VIH0NZ
Bruce George Peter Lee,bruce george peter lee,BRS JRJ PTR L,BRUW1S JHAO1RJH PIY1TER0 LIY1
Bruce M. Metzger,bruce m. metzger,BRS M MTSJR,BRUW1S EH1M . MEH1TSGER0
Bruce P. Crandall,bruce p. crandall,BRS P KRNTL,BRUW1S PIY1 . KRAE1NDAH0L
Bruce R. McConkie,bruce r. mcconkie,BRS R MKKNK,BRUW1S AA1R . MAH0KAA1NKIY0
Bruce W. Clingan,bruce w. clingan,BRS KLNKN,BRUW1S DAH1BAH0LYUW0 . KLIH1NGGAH0N
Bruce W. Smith,bruce w. smith,BRS SM0,BRUW1S DAH1BAH0LYUW0 . SMIH1TH
Bruno Fernandes de Souza,bruno fernandes de souza,BRN FRNNTS T SS,BRUW1NOW0 FER0NAA1NDEH0S DIY1 SUW1ZAH0
Bruno Herrero Arias,bruno herrero arias,BRN HRR ARS,BRUW1NOW0 HHEH0REH1ROW0 AA1RIY0AH0Z
Bruno Martins Indi,bruno martins indi,BRN MRTNS INT,BRUW1NOW0 MAA1RTIH0NZ IH1NDIY0
Bruno Zheng Wu,bruno zheng wu,BRN SHNK W,BRUW1NOW0 ZEH1NG WUW1
Brushy Bill Roberts,brushy bill roberts,BRX BL RBRTS,BRAH1SHIY0 BIH1L RAA1BER0TS
Bryan A. Garner,bryan a. garner,BRYN A KRNR,BRAY1AH0N AH0 . GAA1RNER0
Bryan Lee O'Malley,bryan lee o'malley,BRYN L OML,BRAY1AH0N LIY1 OW0MAE1LIY0
Bryce Dallas Howard,bryce dallas howard,BRS TLS HWRT,BRAY1S DAE1LAH0S HHAW1ER0D
Brían F. O'Byrne,brían f. o'byrne,BRN F OBRN,BRAY1AH0N EH1F . OW0BER1N
Bubba the Love Sponge,bubba the love sponge,BB 0 LF SPNJ,BAH1BAH0 DHAH0 LAH1V SPAH1NJH
Buffalo Bob Smith,buffalo bob smith,BFL BB SM0,BAH1FAH0LOW2 BAA1B SMIH1TH
Buffalo Calf Road Woman,buffalo calf road woman,BFL KLF RT WMN,BAH1FAH0LOW2 KAE1F ROW1D WUH1MAH0N
Bun E. Carlos,bun e. carlos,BN E KRLS,BAH1N IY1 . KAA1RLOW0S
Bung Mokhtar Radin,bung mokhtar radin,BNK MKHTR RTN,BAH1NG MAA1KTER0 RAE1DIH0N
Bunga Citra Lestari,bunga citra lestari,BNK STR LSTR,BAH1NGGAH0 SIH1TRAH0 LEH0STAA1RIY0
Burgula Ramakrishna Rao,burgula ramakrishna rao,BRKL RMKRXN R,BER1GAH0LAH0 RAE2MAH0KRIH1NSHAH0 RAW1
Burton C. Bell,burton c. bell,BRTN K BL,BER1TAH0N SIY1 . BEH1L
Burton K. Wheeler,burton k. wheeler,BRTN K HLR,BER1TAH0N KEY1 . WIY1LER0
Buwei Yang Chao,buwei yang chao,BW YNK X,BUW1WIY0 YAE1NG CHAW1
Byron De La Beckwith,byron de la beckwith,BRN T L BKW0,BAY1RAH0N DIY1 LAA1 BEH1KWIH2TH
Byrraju Ramalinga Raju,byrraju ramalinga raju,BRJ RMLNK RJ,BAY0REY1YUW0 RAH0MAE1LIH0NGGAH0 RAA1YUW0
C. Aubrey Smith,c. aubrey smith,K ABR SM0,SIY1 . AO1BRIY0 SMIH1TH
C. B. Bucknor,c. b. bucknor,K B BKNR,SIY1 . BIY1 . BAH1KNER0
C. B. Fry,c. b. fry,K B FR,SIY1 . BIY1 . FRAY1
C. C. H. Pounder,c. c. h. pounder,K K H PNTR,SIY1 . SIY1 . EY1CH . PAW1NDER0
C. C. Lee,c. c. lee,K K L,SIY1 . SIY1 . LIY1
C. D. Deshmukh,c. d. deshmukh,K T TXMKH,SIY1 . DIY1 . DEH1SHMAH0K
C. Delores Tucker,c. delores tucker,K TLRS TKR,SIY1 . DAH0LAO1RIH0S TAH1KER0
C. E. M. Joad,c. e. m. joad,K E M JT,SIY1 . IY1 . EH1M . JHOW1D
C. E. Murphy,c. e. murphy,K E MRF,SIY1 . IY1 . MER1FIY0
C. Ernst Harth,c. ernst harth,K ERNST HR0,SIY1 . ER1NST HHAA1RTH
C. Everett Koop,c. everett koop,K EFRT KP,SIY1 . EH1VER0AH0T KUW1P
C. Henry Gordon,c. henry gordon,K HNR KRTN,SIY1 . HHEH1NRIY0 GAO1RDAH0N
C. J. Box,c. j. box,K J BKS,SIY1 . JHEY1 . BAA1KS
C. J. Cherryh,c. j. cherryh,K J XRH,SIY1 . JHEY1 . CHEH1RIY0
C. J. Dennis,c. j. dennis,K J TNS,SIY1 . JHEY1 . DEH1NIH0S
C. J. Giles,c. j. giles,K J JLS,SIY1 . JHEY1 . JHAY1LZ
C. J. Graham,c. j. graham,K J KRHM,SIY1 . JHEY1 . GREY1AH0M
C. J. Laing,c. j. laing,K J LNK,SIY1 . JHEY1 . LAA1IH0NG
C. J. Mahaney,c. j. mahaney,K J MHN,SIY1 . JHEY1 . MAH0HHEY1NIY0
C. J. Miles,c. j. miles,K J MLS,SIY1 . JHEY1 . MAY1LZ
C. J. Nitkowski,c. j. nitkowski,K J NTKSK,SIY1 . JHEY1 . NIH0TKAO1FSKIY0
C. J. Ramone,c. j. ramone,K J RMN,SIY1 . JHEY1 . RAH0MOW1N
C. J. Sansom,c. j. sansom,K J SNSM,SIY1 . JHEY1 . SAE1NSAH0M
C. J. Snare,c. j. snare,K J SNR,SIY1 . JHEY1 . SNEH1R
C. J. Spiller,c. j. spiller,K J SPLR,SIY1 . JHEY1 . SPIH1LER0
C. J. Watson,c. j. watson,K J WTSN,SIY1 . JHEY1 . WAA1TSAH0N
C. K. Nayudu,c. k. nayudu,K K NYT,SIY1 . KEY1 . NEY0YUW1DAH0
C. K. Prahalad,c. k. prahalad,K K PRHLT,SIY1 . KEY1 . PRAH0HHAA1LD
C. L. Franklin,c. l. franklin,K L FRNKLN,SIY1 . EH1L . FRAE1NGKLIH0N
C. L. Moore,c. l. moore,K L MR,SIY1 . EH1L . MUH1R
C. L. R. James,c. l. r. james,K L R JMS,SIY1 . EH1L . AA1R . JHEY1MZ
C. N. Annadurai,c. n. annadurai,K N ANTR,SIY1 . EH1N . AE2NAH0DWER0IY1KIY0
C. N. R. Rao,c. n. r. rao,K N R R,SIY1 . EH1N . AA1R . RAW1
C. Northcote Parkinson,c. northcote parkinson,K NR0KT PRKNSN,SIY1 . NAO1RTHKAH0T PAA1RKIH0NSAH0N
C. Odumegwu Ojukwu,c. odumegwu ojukwu,K OTMKW OJKW,SIY1 . OW0DAH2MYUW1LOW0 YUW1KUW0UW0
C. P. Joshi,c. p. joshi,K P JX,SIY1 . PIY1 . JHOW1SHIY0
C. P. Krishnan Nair,c. p. krishnan nair,K P KRXNN NR,SIY1 . PIY1 . KRIH1SHNAH0N NEH1R
C. R. Rao,c. r. rao,K R R,SIY1 . AA1R . RAW1
C. Robert Cloninger,c. robert cloninger,K RBRT KLNNJR,SIY1 . RAA1BER0T KLOW1NIH0NGER0
C. S. Forester,c. s. forester,K S FRSTR,SIY1 . EH1S . FAO1RAH0STER0
C. S. Lee,c. s. lee,K S L,SIY1 . EH1S . LIY1
C. Scott Littleton,c. scott littleton,K SKT LTLTN,SIY1 . SKAA1T LIH1TAH0LTAH0N
C. T. Vivian,c. t. vivian,K T FFN,SIY1 . TIY1 . VIH1VIY0AH0N
C. Thomas Howell,c. thomas howell,K 0MS HWL,SIY1 . TAA1MAH0S HHAW1AH0L
C. V. Raman,c. v. raman,K F RMN,SIY1 . VIY1 . REY1MAH0N
C. V. Sridhar,c. v. sridhar,K F SRTHR,SIY1 . VIY1 . SRIH1DHHER0
C. Vivian Stringer,c. vivian stringer,K FFN STRNJR,SIY1 . VIH1VIY0AH0N STRIH1NGER0
C. W. Post,c. w. post,K PST,SIY1 . DAH1BAH0LYUW0 . POW1ST
C. W. W. Kannangara,c. w. w. kannangara,K KNNKR,SIY1 . DAH1BAH0LYUW0 . DAH1BAH0LYUW0 . KAE2NAH0GNAA1RAH0
C. Wade McClusky,c. wade mcclusky,K WT MKKLSK,SIY1 . WEY1D MAH0KLAH1SKIY0
C. Wright Mills,c. wright mills,K RT MLS,SIY1 . RAY1T MIH1LZ
C. Y. Lee,c. y. lee,K L,SIY1 . WAY1 . LIY1
C. Z. Guest,c. z. guest,K S KST,SIY1 . ZIY1 . GEH1ST
"C.F. \""Fred\"" Turner","c.f. \""fred\"" turner",KF FRT TRNR,SIY1 . EH1F . FREH1D TER1NER0
CJ de Mooi,cj de mooi,KJ T M,KIY1JH DIY1 MUW1IY0
Caitlin Van Zandt,caitlin van zandt,KTLN FN SNTT,KEY1TLIH0N VAE1N ZAE1NT
Caitlyn Taylor Love,caitlyn taylor love,KTLN TLR LF,KEY1TLIH0N TEY1LER0 LAH1V
Caitlín R. Kiernan,caitlín r. kiernan,KTLN R KRNN,KEY1TLIH0N AA1R . KIH1RNAH0N
Caleb Landry Jones,caleb landry jones,KLB LNTR JNS,KEY1LAH0B LAE1NDRIY0 JHOW1NZ
Callum Keith Rennie,callum keith rennie,KLM K0 RN,KAE1LAH0M KIY1TH REH1NIY0
Calvin O. Butts,calvin o. butts,KLFN O BTS,KAE1LVAH0N OW1 . BAH1TS
Camarón de la Isla,camarón de la isla,KMRN T L ISL,KAE1MER0AH0N DIY1 LAA1 IY1LAH0
Cambodian jungle girl,cambodian jungle girl,KMBTN JNKL JRL,KAE2MBOW1DIY0AH0N JHAH1NGGAH0L GER1L
Cameron Todd Willingham,cameron todd willingham,KMRN TT WLNKHM,KAE1MER0AH0N TAA1D WIH1LIH0NGHHAE2M
Cameron van der Burgh,cameron van der burgh,KMRN FN TR BRKH,KAE1MER0AH0N VAE1N DER1 BER1G
Camille De Pazzis,camille de pazzis,KML T PSS,KAH0MIY1L DIY1 PAE1TSIY0Z
Cao Bao (died 196),cao bao (died 196),K B TT ,KAW1 BAW1 DAY1D WAH1N HHAH1NDRAH0D NAY1NTIH0KIY2S
Cao Văn Viên,cao văn viên,K FN FN,KAW1 VAE1N VIY1N
Captain Bob Farnon,captain bob farnon,KPTN BB FRNN,KAE1PTAH0N BAA1B FAA1RNAH0N
Carel Godin de Beaufort,carel godin de beaufort,KRL KTN T BFRT,KAA0REH1L GOW1DIH0N DIY1 BOW1FER0T
Carice van Houten,carice van houten,KRS FN HTN,KEH1RIH0S VAE1N HHAW1TEH0N
Caril Ann Fugate,caril ann fugate,KRL AN FKT,KEH1RAH0L AE1N FAH1GEY0T
Carl A. Anderson,carl a. anderson,KRL A ANTRSN,KAA1RL AH0 . AE1NDER0SAH0N
Carl Andrew Spaatz,carl andrew spaatz,KRL ANTR SPTS,KAA1RL AE1NDRUW0 SPAA1TS
Carl Anthony Payne II,carl anthony payne ii,KRL AN0N PN ,KAA1RL AE1NTHAH0NIY0 PEY1N IY1
Carl Auer von Welsbach,carl auer von welsbach,KRL AR FN WLSBX,KAA1RL AW1ER0 VAO1N WEH1LZBAA0K
Carl Benton Reid,carl benton reid,KRL BNTN RT,KAA1RL BEH1NTAH0N RIY1D
Carl E. Douglas,carl e. douglas,KRL E TKLS,KAA1RL IY1 . DAH1GLAH0S
Carl E. Vuono,carl e. vuono,KRL E FN,KAA1RL IY1 . VUW0OW1NOW0
Carl Epting Mundy,carl epting mundy,KRL EPTNK MNT,KAA1RL EH1PTIH0NG MAH1NDIY0
Carl Eugene Watts,carl eugene watts,KRL EJN WTS,KAA1RL YUW0JHIY1N WAA1TS
Carl F. W. Borgward,carl f. w. borgward,KRL F BRKWRT,KAA1RL EH1F . DAH1BAH0LYUW0 . BAO1RGWER0D
Carl G. Fisher,carl g. fisher,KRL K FXR,KAA1RL JHIY1 . FIH1SHER0
Carl Gustaf von Rosen,carl gustaf von rosen,KRL KSTF FN RSN,KAA1RL GUW1STAA0F VAO1N ROW1ZAH0N
Carl Van Vechten,carl van vechten,KRL FN FXTN,KAA1RL VAE1N VEH1KTAH0N
Carl-Eduard von Bismarck,carl-eduard von bismarck,KRLTRT FN BSMRK,KAA1RLDYUW2ER0D VAO1N BIH1ZMAA2RK
Carla Del Ponte,carla del ponte,KRL TL PNT,KAA1RLAH0 DEH1L PAA1NT
Carla Suárez Navarro,carla suárez navarro,KRL SRS NFR,KAA1RLAH0 SWAA0REH1Z NAH0VAA1ROW0
Carlo Alberto Dalla Chiesa,carlo alberto dalla chiesa,KRL ALBRT TL XS,KAA1RLOW0 AE0LBER1TOW0 DAE1LAH0 KIY1SAH0
Carlo Azeglio Ciampi,carlo azeglio ciampi,KRL ASKL XMP,KAA1RLOW0 AH0ZEH1GLIY0OW0 CHAO1MPIY0
Carlo Gabriel Nero,carlo gabriel nero,KRL KBRL NR,KAA1RLOW0 GEY1BRIY0AH0L NIH1ROW0
Carlo Maria Giulini,carlo maria giulini,KRL MR JLN,KAA1RLOW0 MER0IY1AH0 JHUW0LIY1NIY0
Carlo Maria Martini,carlo maria martini,KRL MR MRTN,KAA1RLOW0 MER0IY1AH0 MAA0RTIY1NIY0
Carlo Maria Viganò,carlo maria viganò,KRL MR FKN,KAA1RLOW0 MER0IY1AH0 VIY0GAA1NOW0
Carlos Alberto Parreira,carlos alberto parreira,KRLS ALBRT PRR,KAA1RLOW0S AE0LBER1TOW0 PAA0REH1RAH0
Carlos Alberto de Jesus,carlos alberto de jesus,KRLS ALBRT T JSS,KAA1RLOW0S AE0LBER1TOW0 DIY1 JHIY1ZAH0S
Carlos Andrade Souza,carlos andrade souza,KRLS ANTRT SS,KAA1RLOW0S AE1NDREY2D SUW1ZAH0
Carlos Andrés Pérez,carlos andrés pérez,KRLS ANTRS PRS,KAA1RLOW0S AA1NDREY0Z PEH1REH0Z
Carlos Castaño Gil,carlos castaño gil,KRLS KSTN JL,KAA1RLOW0S KAA0STAA1NOW0 GIH1L
Carlos Castillo Armas,carlos castillo armas,KRLS KSTL ARMS,KAA1RLOW0S KAE2STIY1OW0 AA1RMAH0Z
Carlos Di Sarli,carlos di sarli,KRLS T SRL,KAA1RLOW0S DIY1 SAA1RLIY0
Carlos Drummond de Andrade,carlos drummond de andrade,KRLS TRMNT T ANTRT,KAA1RLOW0S DRAH1MAH0ND DIY1 AE1NDREY2D
