name,name_lc,name_lc_metaphone,name_lc_arpabet
A. P. Herbert,a. p. herbert,A P HRBRT,AH0 . PIY1 . HHER1BER0T
A. R. Bernard,a. r. bernard,A R BRNRT,AH0 . AA1R . BER0NAA1RD
A. R. Rahman,a. r. rahman,A R RMN,AH0 . AA1R . RAA1MAH0N
A. R. Reihana,a. r. reihana,A R RHN,AH0 . AA1R . RIY0HHIY1NAH0
A. S. Byatt,a. s. byatt,A S BYT,AH0 . EH1S . BAY1AH0T
A. Scott Berg,a. scott berg,A SKT BRK,AH0 . SKAA1T BER1G
A. V. M. Rajan,a. v. m. rajan,A F M RJN,AH0 . VIY1 . EH1M . REY1JHAH0N
A. V. Meiyappan,a. v. meiyappan,A F MYPN,AH0 . VIY1 . MAY2AH0PAE1MAH0N
A. W. Tillinghast,a. w. tillinghast,A TLNKHST,AH0 . DAH1BAH0LYUW0 . TIH1LIH0NGHHAE2ST
A. W. Tozer,a. w. tozer,A TSR,AH0 . DAH1BAH0LYUW0 . TOW1ZER0
A. Y. Jackson,a. y. jackson,A JKSN,AH0 . WAY1 . JHAE1KSAH0N
A.P. Anil Kumar,a.p. anil kumar,AP ANL KMR,AH0 . PIY1 . AE1NIH0L KUW0MAA1R
AB de Villiers,ab de villiers,AB T FLRS,AE1B DIY1 VIH1LYER0Z
Aamir Liaquat Hussain,aamir liaquat hussain,MR LKT HSN,AA1MIH0R LAY1AH0KWAH0T HHUW0SEY1N
Aaron D. Spears,aaron d. spears,RN T SPRS,EH1RAH0N DIY1 . SPIH1RZ
Aaron David Miller,aaron david miller,RN TFT MLR,EH1RAH0N DEY1VIH0D MIH1LER0
Aaron Dontez Yates,aaron dontez yates,RN TNTS YTS,EH1RAH0N DAA1NTEH0Z YEY1TS
Aaron Michael Davies,aaron michael davies,RN MXL TFS,EH1RAH0N MAY1KAH0L DEY1VIY0Z
Aaron T. Beck,aaron t. beck,RN T BK,EH1RAH0N TIY1 . BEH1K
Abbas II of Egypt,abbas ii of egypt,ABS OF EJPT,AH0BAA1S IY1 AH1V IY1JHAH0PT
Abbey Lee Kershaw,abbey lee kershaw,AB L KRX,AE1BIY0 LIY1 KER1SHAA2
Abbott Handerson Thayer,abbott handerson thayer,ABT HNTRSN 0YR,AE1BAH0T HHAE1NDER0SAH0N THEY1ER0
Abby Aldrich Rockefeller,abby aldrich rockefeller,AB ALTRX RKFLR,AE1BIY0 AO1LDRIH0CH RAA1KAH0FEH2LER0
Abby Rockefeller Mauzé,abby rockefeller mauzé,AB RKFLR MS,AE1BIY0 RAA1KAH0FEH2LER0 MAW1Z
Abd al-Aziz ibn Baz,abd al-aziz ibn baz,ABT ALSS IBN BS,AE1BD AA0LAA1ZAH0Z IH1BAH0N BAE1Z
Abd al-Hamid Kishk,abd al-hamid kishk,ABT ALHMT KXK,AE1BD AE1LHHAH0MEH2D KIH1SH
Abd al-Karim Qasim,abd al-karim qasim,ABT ALKRM KSM,AE1BD AE2LKAA1RMIH0V KAH0ZIH1M
Abd al-Rahim al-Nashiri,abd al-rahim al-nashiri,ABT ALRHM ALNXR,AE1BD AE1LRHHAH0M AE0LNHHAE1ZBIY0ER0
Abdallah bin Laden,abdallah bin laden,ABTL BN LTN,AE2BDAE1LAH0 BIH1N LEY1DAH0N
Abdel Aziz al-Rantisi,abdel aziz al-rantisi,ABTL ASS ALRNTS,AE1BDEH2L AH0ZIY1Z AA0LRAA0NTIY1SIY0
Abdel Bari Atwan,abdel bari atwan,ABTL BR ATWN,AE1BDEH2L BAA1RIY0 AE1TWAA2N
Abdel Hakim Amer,abdel hakim amer,ABTL HKM AMR,AE1BDEH2L HHAA0KIY1M EY1MER0
Abdel Halim Hafez,abdel halim hafez,ABTL HLM HFS,AE1BDEH2L HHAE1LIH0M HHAA1FEH0Z
Abdelaziz of Morocco,abdelaziz of morocco,ABTLSS OF MRKK,AE2BDAH0LAE1ZAH0WAH0LZ AH1V MER0AA1KOW0
Abdelhamid El Kaoutari,abdelhamid el kaoutari,ABTLHMT EL KTR,AE2BDAH0LAE1DAH0MIY0 EH1L KOW0AE1TER0IY0
